Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
413	 	 	 	 	 	 	 	 	 
414	 	 	 	581.89075	245.12384	 	 	 	 
415	 	 	 	575.12634	243.9031	 	 	 	 
416	 	 	 	569.4543	242.63158	 	 	 	 
417	 	 	 	566.7068	240.04697	 	 	 	 
418	 	 	 	565.1616	239.50754	 	 	 	 
419	 	 	 	563.9873	239.50902	 	 	 	 
420	 	 	 	563.22546	239.47597	 	 	 	 
421	 	 	 	562.6353	238.94888	 	 	 	 
422	 	 	 	562.09125	238.56691	 	 	 	 
423	 	 	 	560.038	237.45573	 	 	 	 
424	 	 	 	557.80475	234.64035	 	 	 	 
425	 	 	 	555.4172	232.2065	 	 	 	 
426	 	 	 	553.75385	230.89769	 	 	 	 
427	 	 	 	551.6823	231.67642	 	 	 	 
428	 	 	 	548.01715	233.7406	 	 	 	 
429	 	 	 	547.8839	234.23822	 	 	 	 
430	 	 	 	550.022	233.07355	 	 	 	 
431	 	 	 	550.68994	232.76184	 	 	 	 
432	 	 	 	550.507	233.20729	 	 	 	 
433	 	 	 	550.18604	233.91002	 	 	 	 
434	 	 	 	549.62036	235.04883	 	 	 	 
435	 	 	 	549.4905	237.26027	 	 	 	 
436	 	 	 	550.2975	239.72408	 	 	 	 
437	 	 	 	549.917	241.89735	 	 	 	 
438	 	 	 	549.05664	244.6576	 	 	 	 
439	 	 	 	548.54333	248.17131	 	 	 	 
440	 	 	 	548.5333	252.82901	 	 	 	 
441	 	 	 	548.38196	257.47745	 	 	 	 
442	 	 	 	549.27954	262.47263	 	 	 	 
443	 	 	 	549.89075	270.4448	 	 	 	 
444	 	 	 	550.66766	277.33038	 	 	 	 
445	 	 	 	550.3877	285.4413	 	 	 	 
446	 	 	 	547.43384	294.83777	 	 	 	 
447	 	 	 	542.0801	304.67838	 	 	 	 
448	 	 	 	537.00757	312.43765	 	 	 	 
449	 	 	 	529.8926	321.78894	 	 	 	 
450	 	 	 	522.3031	330.66437	 	 	 	 
451	 	 	 	512.3213	339.95804	 	 	 	 
452	 	 	 	500.76828	350.82114	 	 	 	 
453	 	 	 	493.25858	361.04584	 	 	 	 
454	 	 	 	484.31448	372.5176	 	 	 	 
455	 	 	 	475.3	383.77173	 	 	 	 
456	 	 	 	466.2156	395.20062	 	 	 	 
457	 	 	 	455.39832	406.43353	 	 	 	 
458	 	 	 	445.47614	419.01846	 	 	 	 
459	 	 	 	431.93768	433.75266	 	 	 	 
460	 	 	 	418.6643	447.83496	 	 	 	 
461	 	 	 	403.78976	462.1028	 	 	 	 
462	 	 	 	391.00027	475.45114	 	 	 	 
463	 	 	 	377.4576	490.70575	 	 	 	 
464	 	 	 	366.515	505.12866	 	 	 	 
465	 	 	 	354.07153	520.27716	 	 	 	 
466	 	 	 	345.0114	533.5135	 	 	 	 
